testscr,income
690.8,22.69
661.2,9.824
643.6,8.978
647.7,8.978
640.85,9.080333
605.55,10.415
606.75,6.577
609,8.174
612.5,7.385
612.65,11.61333
615.75,8.931
616.3,7.385
616.3,5.335
616.3,8.279
616.45,9.63
617.35,7.454
618.05,6.216
618.3,7.764
619.8,7.022
620.3,5.699
620.5,7.941
621.4,9.63
621.75,7.405
622.05,9.63
622.6,8.019
623.1,8.523
623.2,7.983181
623.45,7.305
623.6,8.934
624.15,8.554
624.55,6.613
624.95,12.409
625.3,8.126616
625.85,11.431
626.1,11.72223
626.8,11.3325
626.9,9.598
627.1,14.558
627.25,22.06
627.3,9.709
628.25,11.48294
628.4,8.178
628.55,8.174
628.65,7.5
628.75,10.0505
629.8,7.332
630.35,12.58158
630.4,15.177
630.55,12.10913
630.55,11.785
631.05,14.062
631.4,10.472
631.85,13.40512
631.9,12.3018
631.95,15.40407
632,13.762
632.2,14.184
632.25,8.865
632.45,12.997
632.85,11.592
632.95,8.279
633.05,10.90564
633.15,13.40063
633.65,11.081
633.9,9.082
634,13.39
634.05,14.60163
634.1,11.116
634.1,8.423
634.15,11.665
634.2,7.305
634.4,13.7306
634.55,11.116
634.7,10.36443
634.9,6.983
634.95,14.4678
635.05,14.653
635.2,10.629
635.45,9.781
635.6,10.656
635.6,11.938
635.75,7.385
635.95,10.676
636.1,9.972
636.5,8.258
636.6,8.896
636.7,12.062
636.9,9.428895
636.95,8.920333
637,10.098
637.1,11.83
637.35,11.553
637.65,19.707
637.95,7.105
637.95,13.725
638,10.098
638.2,13.762
638.3,9.665
638.3,10.264
638.35,11.5692
638.55,7.405
638.7,12.077
639.25,11.283
639.3,10.035
639.35,8.384
639.5,13.63
639.75,14.12767
639.8,11.26612
639.85,13.39
639.9,11.938
640.1,8.258
640.15,14.22673
640.5,10.472
640.75,14.2429
640.9,14.066
641.1,15.968
641.45,10.264
641.45,10.60247
641.55,10.523
641.8,11.238
642.2,10.056
642.2,11.183
642.4,7.385
642.75,13.579
643.05,9.63
643.2,15.274
643.25,14.03425
643.4,10.23967
643.4,9.485
643.5,15.02987
643.5,9.781
643.7,13.192
643.7,12.216
644.2,14.076
644.2,25.48733
644.4,14.867
644.45,9.972
644.45,14.578
644.5,7.385
644.55,12.343
644.7,12.43133
644.95,14.906
645.1,12.6699
645.25,10.333
645.55,11.972
645.55,12.827
645.6,10.04
645.75,13.335
645.75,9.854
646,11.426
646.2,15.131
646.35,14.578
646.4,10.268
646.5,15.59286
646.55,11.238
646.7,15.05138
646.9,15.41318
646.95,11.081
647.05,10.098
647.25,14.2983
647.3,11.803
647.6,9.972
647.6,15.409
648,15.2938
648.2,15.53293
648.25,16.293
648.35,12.875
648.7,16.623
648.95,12.54988
649.15,14.25857
649.3,18.326
649.5,12.74914
649.7,11.426
649.85,8.83
650.45,11.176
650.55,14.228
650.6,15.027
650.65,10.521
650.9,18.626
650.9,22.529
651.15,18.29839
651.2,11.88575
651.35,9.926
651.4,14.197
651.45,9.63
651.8,10.639
651.85,14.475
651.9,13.467
652,9.665
652.1,12.708
652.1,17.823
652.3,17.156
652.3,19.58964
652.35,14.197
652.4,11.912
652.4,13.386
652.5,11.554
652.85,19.026
653.1,16.407
653.4,14.058
653.5,19.068
653.55,20.77
653.55,10.264
653.7,14.578
653.8,10.202
653.85,12.502
653.95,13.906
654.1,9.986
654.2,13.712
654.2,10.098
654.3,11.291
654.6,13.225
654.85,13.63
654.85,14.623
654.9,8.776
655.05,10.338
655.05,16.323
655.05,10.65633
655.2,14.578
655.3,18.6306
655.35,11.116
655.35,14.59767
655.4,15.493
655.55,16.272
655.7,13.63
655.8,12.394
655.85,15.331
656.4,12.666
656.5,13.712
656.55,17.78033
656.65,10.55667
656.7,10.523
656.8,13.243
656.8,22.473
657,15.68465
657,23.48375
657.15,11.649
657.4,16.356
657.5,14.074
657.55,13.437
657.65,18.338
657.75,11.426
657.8,15.74992
657.9,15.779
658,14.062
658.35,12.174
658.6,12.9
658.8,10.971
659.05,17.4352
659.15,14.76
659.35,14.603
659.4,13.52233
659.4,16.669
659.8,13.52225
659.9,12.518
660.05,18.326
660.1,11.466
660.2,10.098
660.3,15.365
660.75,10.31133
660.95,16.98663
661.35,9.612
661.45,21.1105
661.6,16.47331
661.6,18.369
661.85,16.65411
661.85,18.54422
661.85,14.18
661.9,18.02955
661.9,13.586
661.95,12.64
662.4,11.103
662.4,7.5
662.45,15.506
662.5,22.8414
662.55,19.82313
662.55,16.347
662.65,16.293
662.7,13.248
662.75,14.01
662.9,14.163
663.35,15.771
663.45,14.48333
663.5,14.209
663.85,15.167
663.85,12.58425
663.9,10.551
664,16.956
664,17.709
664.15,16.272
664.15,17.9008
664.3,11.834
664.4,18.6202
664.45,12.431
664.7,15.167
664.75,20.87575
664.95,10.639
664.95,25.02962
665.1,16.7578
665.2,15.297
665.35,17.36945
665.65,22.096
665.9,22.842
665.95,18.31988
666,25.03
666.05,21.957
666.1,18.79683
666.15,10.639
666.15,17.508
666.45,18.593
666.55,11.116
666.6,14.09767
666.65,12.64
666.65,20.93643
666.7,14.18
666.85,11.826
666.85,18.671
667.15,17.332
667.2,17.508
667.45,15.572
667.45,15.56725
667.6,15.752
668,20.47
668.1,9.709
668.4,11.116
668.6,16.321
668.65,21.967
668.8,8.934
668.9,19.997
668.95,18.82723
669.1,18.11867
669.3,23.66738
669.3,22.139
669.35,20.546
669.35,9.485
669.8,11.834
669.85,18.799
669.95,10.551
670,15.519
670.7,21.63173
671.25,21.09575
671.3,15.167
671.6,19.117
671.6,17.62
671.65,15.167
671.7,10.643
671.75,20.73906
671.9,21.566
671.9,17.656
671.95,17.709
672.05,27.816
672.05,18.593
672.3,14.263
672.35,22.758
672.45,12.64
672.55,11.238
672.7,16.956
673.05,17.709
673.25,25.622
673.3,18.726
673.55,13.443
673.55,15.18
673.9,19.117
674.25,13.712
675.4,17.508
675.7,11.834
676.15,13.273
676.55,16.356
676.6,18.626
676.85,23.733
676.95,12.934
677.25,13.906
677.95,15.428
678.05,15.381
678.4,22.529
678.8,23.8061
679.4,24.603
679.5,36.174
679.65,33.455
679.75,20.48022
679.8,20.134
680.05,19.3465
680.45,36.174
681.3,22.86333
681.3,17.709
681.6,14.177
681.9,41.093
682.15,21.957
682.45,16.064
682.55,25.737
682.65,20.474
683.35,35.81
683.4,13.567
684.3,20.089
684.35,18.283
684.8,25.23972
684.95,25.063
686.05,30.6285
686.7,27.47522
687.55,30.84
689.1,34.1595
691.05,43.23
691.35,27.94775
691.9,49.939
693.95,55.328
694.25,35.481
694.8,34.301
695.2,38.62857
695.3,35.342
696.55,31.052
698.2,40.264
698.25,35.81
698.45,43.23
699.1,50.677
700.3,40.402
704.3,28.717
706.75,41.73411
645,23.733
672.2,9.952
655.75,12.502