Score,Price,Year
86,11,2012
86,11,2014
83,9,2013
86,22,2014
85,20,2013
88,16,2013
91,19,2014
84,21,2011
86,19,2012
92,21,2013
86,17,2014
86,11,2014
80,6,
85,21,2011
83,20,2012
85,9,2012
80,9,2012
84,19,2013
86,14,2013
85,14,2014
83,6,2014
83,9,2013
91,23,2013
86,21,2013
90,16,2013
83,9,2013
84,16,2013
86,9,2013
82,13,2014
87,31,2011
86,13,2013
87,17,2014
75,14,2014
91,17,2013
84,14,2013
90,16,2014
83,11,2013
91,39,2012
89,20,2013
86,13,2013
90,24,2011
84,11,2013
89,26,2011
85,10,2013
87,10,2014
89,17,2013
88,19,2013
84,13,2012
85,11,2013
91,23,2013
86,13,2014
85,24,2012
85,10,2013
84,13,2012
77,10,2014
85,10,2013
82,13,2013
88,31,2013
85,9,2013
83,10,2014
89,26,2012
86,17,2014
86,33,2013
91,30,2013
84,11,2013
85,10,2013
85,19,
90,23,2013
86,16,2014
91,30,2012
84,7,2013
79,10,2014
79,6,
87,31,2013
87,34,2012
82,10,2012
87,16,2013
85,6,2013
86,11,2012
89,14,2013
85,13,2013
83,10,2012
85,16,2013
86,16,2013
92,34,2012
91,24,2012
87,17,2012
85,29,2013
90,21,2012
86,29,2011
91,31,2012
86,16,2013
87,23,2012
89,16,2012
85,7,2013
90,41,2011
88,27,2012
81,9,2014
91,21,2013
85,12,2013
86,14,2013
83,10,2013
90,21,2013
91,31,2013
84,10,2014
90,16,2014
85,13,2013
85,26,2013
87,21,2012
85,13,2014
87,21,2013
88,13,2013
84,20,2013
84,14,2014
92,33,2013
83,13,2014
86,14,2013
84,22,2013
86,17,2013
84,13,2013
85,17,2012
84,13,2013
84,11,2014
87,13,2013
85,16,2014
86,19,2013
85,19,2013
91,23,2013
86,17,2013
86,11,2012
88,21,2013
86,17,2013
88,21,2013
86,10,2013
83,11,2013
85,16,2013
89,21,2013
84,13,2013
84,13,2013
78,19,2013
87,29,2013
88,21,2012
83,10,2014
84,21,2012
90,30,2012
82,10,2012
87,24,2013
85,13,2013
85,11,2014
85,19,2013
88,21,2013
84,18.5,2013
90,24,2013
85,11,2013
84,26,2013
84,11,2013
89,34,2013
88,26,2012
85,13,2013
88,27,2013
84,13,2013
78,3,
92,30,2012
87,20,2012
87,9,2013
86,19,2013
86,19,2012
83,6,
83,10,2014
90,41,2012
87,16,2013
89,13,2013
86,36,2014
89,23,2012
84,10,2013
82,20,2012
84,10,2012
82,13,2013
83,13,2013
88,14,2013
84,13,2013
83,13,2013
90,30,2012
82,9,2012
83,9,2013
88,24,2012
90,33,2012
84,33,2014
76,6,2012
87,13,2013
78,21,2014
87,29,2013
90,26,2013
84,10,2013
89,33,2011
82,4,
87,17,2013
86,21,2014
88,34,2014
90,24,2012
84,26,2012
77,10,2012
87,21,2013
84,11,2013
79,6,
82,10,2013
86,9,2011
85,9,2013
86,13,2013
85,11,2013
90,24,2013
86,13,2013
84,19,2013
88,29,2013
86,16,2013
81,14,2013
87,14,2012
82,6,
86,16,2012
85,36,2013
84,21,2013
86,13,2014
87,19,2014
85,16,2013
82,20,2014
85,21,2013
86,14,2012
83,7,2014
83,11,2013
85,36,2012